ImageId,EncodedPixels
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,14339 9 14594 11 14849 13 15105 14 15361 14 15617 14 15873 14 16129 14 16385 14 16641 14 16897 14 17153 13 17409 12 17665 11 17921 8 18178 5
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,37378 5 37633 7 37889 8 38145 9 38401 10 38657 10 38913 10 39169 10 39425 10 39681 10 39937 9 40194 8 40450 7 40707 5
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,60930 2 61185 4 61441 6 61697 6 61953 7 62209 7 62465 8 62721 8 62977 8 63233 7 63489 7 63745 6 64001 6 64257 6 64513 5 64769 5 65026 3
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,7687 7 7942 10 8197 12 8453 13 8708 15 8964 15 9219 16 9475 16 9731 16 9987 16 10244 15 10500 14 10757 12 11014 10 11274 2
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,27147 8 27402 10 27657 20 27913 21 28169 22 28424 23 28680 23 28936 23 29191 24 29447 24 29703 24 29959 24 30216 22 30472 21 30729 20 30985 19 31243 16 31500 15 31760 11 32017 9 32274 7 32531 6
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,49678 6 49933 8 50187 10 50204 2 50443 11 50459 5 50698 12 50714 14 50953 14 50969 16 51209 14 51225 16 51465 32 51721 32 51977 31 52233 31 52489 30 52746 13 52764 11 53002 11 53021 9 53259 8 53278 6 53516 6 53536 3
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,34580 2 34833 8 35088 9 35343 12 35598 13 35853 15 36109 16 36365 16 36621 16 36877 15 37135 13 37396 7 37653 6 37910 3
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,60948 9 61203 11 61458 13 61713 15 61968 16 62224 16 62480 16 62736 16 62992 15 63248 15 63505 13 63761 12 64019 9 64276 6
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,56343 7 56598 9 56852 11 57107 12 57363 12 57618 13 57873 14 58129 14 58385 14 58641 13 58898 11 59155 10 59412 6 59670 1
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,17948 6 18203 9 18457 12 18711 15 18967 15 19222 17 19478 17 19733 18 19989 17 20245 17 20501 16 20758 15 21015 13 21272 11 21533 3
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,34337 6 34593 7 34847 10 35103 11 35359 11 35615 12 35871 12 36127 12 36384 11 36641 10 36897 8 37153 8 37411 2
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,51761 4 52016 5 52271 7 52526 9 52781 9 53037 9 53293 9 53548 9 53797 15 54053 14 54309 9 54565 8 54822 7 55078 7 55336 4 55592 3 55844 7 56099 8 56355 9 56611 9 56867 8 57123 8
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,6185 6 6441 7 6695 9 6951 8 7207 7 7463 6 7721 2
