ImageId,EncodedPixels
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,14340 6 14594 9 14849 12 15105 13 15361 14 15617 14 15873 14 16129 14 16385 14 16641 14 16897 13 17153 12 17409 10 17665 9 17921 5 18178 2
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,37122 3 37377 6 37633 7 37889 8 38145 8 38401 9 38657 10 38913 10 39169 10 39425 10 39681 10 39937 10 40193 9 40449 8 40706 7 40964 2
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,61185 4 61441 5 61697 6 61953 6 62209 7 62465 7 62721 8 62977 8 63233 8 63489 7 63745 7 64001 6 64257 6 64513 6 64769 6 65025 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,7686 8 7941 10 8196 13 8451 15 8707 16 8963 16 9219 16 9475 16 9731 16 9987 16 10243 16 10500 14 10757 12 11014 10 11274 1
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,27149 5 27403 8 27658 11 27673 2 27913 19 28169 20 28425 21 28680 22 28936 22 29192 22 29448 22 29704 21 29961 20 30217 20 30473 19 30729 19 30986 17 31244 15 31502 13 31761 10 32017 9 32275 6 32531 5
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,49678 5 49933 8 50187 10 50443 10 50698 12 50954 12 51209 13 51465 13 51721 14 51977 14 52234 12 52490 12 52747 10 53003 10 53259 8 53516 6
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,34833 8 35088 9 35342 13 35597 14 35853 16 36109 16 36365 16 36621 16 36878 15 37135 13 37396 8 37653 6 37910 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,60950 6 61204 9 61458 13 61713 14 61969 15 62224 16 62480 15 62736 15 62992 15 63248 15 63505 13 63762 11 64020 6 64277 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,56343 8 56598 9 56852 11 57107 12 57363 12 57618 13 57874 13 58129 14 58386 13 58642 12 58899 10 59155 8 59414 1
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,17949 5 18203 8 18457 11 18712 13 18967 14 19223 14 19478 16 19734 15 19990 15 20246 15 20502 15 20759 14 21016 11 21273 10
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,50204 2 50459 5 50714 13 50969 15 51225 16 51481 16 51737 16 51993 16 52251 13 52508 12 52765 10 53021 10 53278 6 53536 2
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,34337 5 34593 6 34848 9 35103 10 35359 11 35615 12 35871 12 36127 12 36384 11 36641 10 36897 9 37153 8 37411 2
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,51761 4 52015 6 52270 8 52525 10 52781 10 53037 10 53293 9 53548 9 53797 16 54053 15 54309 10 54565 9 54821 8 55078 7 55335 5 55591 4 55843 8 56099 8 56354 10 56610 10 56867 8 57123 8
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,6186 5 6441 6 6695 9 6951 9 7207 8 7463 7
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,39472 6 39727 8 39983 8 40238 10 40494 10 40749 11 41005 12 41023 6 41262 11 41278 8 41519 11 41533 10 41775 11 41789 11 42033 10 42045 11 42289 24 42545 24 42801 23 43052 27 43306 19 43326 9 43560 20 43815 21 44071 21 44105 6 44327 25 44361 7 44583 16 44602 8 44616 9 44839 16 44858 9 44872 9 45096 15 45114 9 45127 10 45353 13 45370 9 45383 10 45611 11 45626 9 45639 10 45868 9 45882 9 45895 10 46125 7 46139 8 46151 9 46381 6 46395 8 46407 8 46639 2 46651 7 46663 5 46909 4 46917 6 47169 10 47425 11 47680 13 47936 13 48191 14 48447 14 48704 13 48960 13 49217 12 49474 11 49732 8 49990 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,47149 5 47404 8 47656 13 47911 14 48167 14 48423 14 48679 13 48935 12 49191 11 49448 9
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,25133 7 25388 9 25643 11 25899 12 26154 13 26409 14 26665 14 26921 14 27177 14 27433 14 27689 14 27945 14 28201 13 28457 12 28714 11 28971 9 29229 5
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,561 5 815 8 1070 9 1325 11 1580 12 1836 13 2091 14 2347 14 2603 14 2860 12 3117 10 3373 10 3631 6 3888 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,52031 6 52285 10 52541 10 52796 13 53051 14 53306 15 53562 15 53818 15 54073 16 54329 15 54585 15 54836 19 55091 20 55347 18 55602 15 55858 14 56115 12 56371 12 56628 11 56885 10 57142 8 57400 5 57657 2
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,4152 4 4407 6 4661 8 4917 9 5173 10 5429 10 5685 10 5941 10 6197 9 6453 9 6709 8 6966 7
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,34874 7 35129 8 35383 11 35639 12 35894 13 36150 13 36405 14 36661 13 36917 13 37173 12 37430 11 37686 11 37943 9 38200 7
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,59711 5 59965 9 60220 11 60475 12 60730 13 60986 13 61241 14 61497 14 61754 12 62011 11 62267 10 62525 6 62782 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,64579 2 64833 5 65089 6 65346 2
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,23623 5 23878 7 24133 10 24388 11 24643 13 24899 13 25154 15 25410 15 25666 15 25922 15 26178 15 26435 14 26691 13 26947 13 27203 12 27460 11 27717 8 27974 6
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,35406 3 35661 5 35915 9 36171 10 36425 12 36681 12 36937 12 37193 12 37449 12 37705 12 37962 11 38218 10 38475 8 38732 6
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,60499 6 60754 8 61009 10 61265 10 61521 10 61776 11 62032 11 62289 10 62545 9 62801 8 63052 10 63307 10 63562 12 63818 12 64074 12 64330 11 64586 11 64842 10 65099 7 65357 3
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,46165 5 46420 7 46675 8 46930 9 47185 10 47441 10 47697 10 47953 10 48209 10 48465 10 48721 9 48978 7 49235 5 49492 3
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,37739 2 37982 8 37993 6 38237 18 38492 20 38748 22 39003 27 39260 27 39516 27 39773 26 40029 26 40286 5 40293 18 40550 17 40806 16 41063 14 41320 13 41577 11 41834 9 42090 9 42346 9 42602 7 42859 5 43115 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,25707 8 25962 10 26217 12 26473 13 26729 14 26985 14 27241 14 27497 14 27753 14 28009 14 28255 24 28511 24 28767 24 29022 13 29037 9 29278 13 29296 5 29533 14 29554 1 29790 13 30046 14 30303 13 30559 14 30815 14 31072 13 31329 11 31586 10 31844 6 32101 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,21348 5 21601 9 21857 10 22113 10 22369 10 22625 10 22881 10 23137 10 23394 9 23651 7 23908 5
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,63586 8 63842 9 64097 10 64353 10 64609 10 64865 10 65121 10 65379 7
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,17001 4 17256 7 17509 11 17765 12 18020 13 18276 14 18532 14 18788 15 19045 14 19301 14 19557 14 19814 13 20071 11 20327 10 20585 7 20843 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,5225 5 5481 6 5735 8 5991 10 6247 14 6503 14 6759 16 7015 17 7273 20 7529 21 7786 22 8043 22 8299 22 8556 21 8814 19 9071 18 9327 17 9583 16 9840 4 10097 1
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,11893 9 12148 11 12403 14 12659 14 12914 16 13170 16 13427 15 13683 15 13940 13 14197 11 14454 6 14711 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,15485 4 15740 6 15995 8 16251 8 16506 9 16761 10 17017 10 17273 11 17529 11 17785 11 18042 11 18299 11 18556 11 18813 11 19069 12 19325 12 19580 13 19836 13 20092 13 20348 13 20604 13 20861 12 21117 11 21373 10 21631 7 21888 5
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,41599 10 41854 12 42110 13 42365 14 42622 13 42878 13 43135 12 43391 12 43649 10 43906 8 44165 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,55950 10 56205 12 56459 16 56713 18 56967 21 57223 22 57477 24 57733 24 57988 26 58244 26 58500 26 58755 27 59011 27 59267 27 59524 25 59780 25 60037 24 60293 23 60549 21 60806 18 61065 8 61323 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,38026 9 38281 10 38537 10 38793 11 39049 11 39305 11 39562 10 39819 8 40079 2
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,3730 8 3985 10 4239 12 4495 13 4751 13 5006 14 5262 14 5517 15 5773 15 6029 14 6286 13 6542 13 6799 11 7055 10 7312 8 7569 6
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,31891 8 32146 9 32400 13 32655 14 32911 14 33167 15 33423 16 33679 16 33935 16 34191 16 34447 16 34704 14 34961 13 35217 12 35474 11 35730 10 35987 8 36245 4
912a679e4b9b1d1a75170254fd675b8c24b664d80ad7ea7e460241a23535a406,23447 4 23700 9 23955 11 24210 13 24466 13 24721 14 24977 14 25233 14 25489 14 25746 12 26003 10 26259 9 26516 7
